State,District,Block,ASSAM AND BENGAL PLAIN  HOT SUBHUMID  TO HUMID  (INCLUSION  OF PERHUMID) ECO-REGION,CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,DECCAN PLATU  HOT SEMI-ARID ECO-REGION,EASTERN COASTAL PLAIN  HOT SUBHUMID TO SEMI-ARID EGO-REGION,EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,EASTERN HIMALAYAS  WARM PERHUMID ECO-REGION,EASTERN PLAIN  HOT SUBAUMID (MOIST) ECO-REGION,EASTERN PLATEAU (CHHATTISGARH REGION),EASTERN PLATEAU (CHHOTANAGPUR) AND EASTERN GHATS  HOT SUBHUMID ECO-REGION,KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),WESTERN GHATS AND COASTAL PLAIN  HOT HUMID-PERHUMID ECO-REGION
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.8482319668863,0.0,0.0
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909.3162344403744,0.0,0.0
Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.5437981477436,0.0,0.0
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.8105902181297,0.0,0.0
Andhra Pradesh,Alluri Sitharama Raju,Chintur,0.0,0.0,0.0,347.333243046514,0.0,0.0,0.0,0.0,0.0,0.0,805.6641012587113,0.0,0.0
Andhra Pradesh,Alluri Sitharama Raju,Devipatnam,0.0,0.0,0.0,30.2122597756765,0.0,0.0,0.0,0.0,0.0,0.0,405.8128508739391,0.0,0.0
Andhra Pradesh,Alluri Sitharama Raju,Dumbriguda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.96172946833093,0.0,0.0
Andhra Pradesh,Alluri Sitharama Raju,G.Madugula,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.2198962251549,0.0,0.0
Andhra Pradesh,Alluri Sitharama Raju,Gangavaram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.91752967237943,0.0,0.0
Andhra Pradesh,Alluri Sitharama Raju,Gudem Kotha Veedhi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,978.7636411247927,0.0,0.0
Andhra Pradesh,Alluri Sitharama Raju,Hukumpeta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.3228441666482,0.0,0.0
